City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,novodvinsk,64.4165,40.8122,-0.12,87,78,3.95,RU,1706671873
180,kara-balta,42.8142,73.8481,-1.99,95,100,0.72,KG,1706671876
181,juneau,58.3019,-134.4197,1.0,95,100,2.06,US,1706671876
182,kez,57.8979,53.7152,-3.56,90,99,4.03,RU,1706671877
183,grand-bassam,5.2118,-3.7388,27.98,84,42,1.59,CI,1706671877
184,san luis,-33.295,-66.3356,24.12,52,69,4.84,AR,1706671878
185,san antonio de pale,-1.4014,5.6325,27.98,77,100,2.78,GQ,1706671580
186,arraial do cabo,-22.9661,-42.0278,24.86,92,42,3.22,BR,1706671879
187,walvis bay,-22.9575,14.5053,17.53,100,2,4.12,NA,1706671793
188,colonia,50.9333,6.95,7.76,85,75,3.6,DE,1706671881
189,olonkinbyen,70.9221,-8.7187,-3.97,75,100,6.58,SJ,1706671881
190,gracemere,-23.4333,150.45,30.95,62,100,2.57,AU,1706671882
191,ajra,16.1167,74.2,25.37,37,31,0.42,IN,1706671883
192,kenai,60.5544,-151.2583,-17.14,83,0,1.54,US,1706671883
193,port lincoln,-34.7333,135.8667,20.4,56,0,5.39,AU,1706671884
194,sinop,41.7711,34.8709,0.19,89,97,0.81,TR,1706671885
195,puerto baquerizo moreno,-0.9,-89.6,25.28,87,89,5.22,EC,1706671885
196,bijapur,16.8333,75.7,24.88,34,72,3.12,IN,1706671886
197,valera,9.3178,-70.6036,22.41,72,26,2.45,VE,1706671887
198,uturoa,-16.7333,-151.4333,29.04,74,89,5.03,PF,1706671887
199,leh,34.1667,77.5833,-5.46,72,99,2.42,IN,1706671888
200,naracoorte,-36.9579,140.7383,27.3,27,0,6.59,AU,1706671889
201,okha,53.5739,142.9478,-18.0,88,99,7.14,RU,1706671891
202,porto novo,6.4965,2.6036,27.9,86,60,1.46,BJ,1706671891
203,iskateley,67.6803,53.1512,-6.1,92,78,4.92,RU,1706671892
204,caracal,44.1167,24.35,-2.23,74,0,1.86,RO,1706671893
205,marsabit,2.3284,37.9899,18.87,82,75,7.72,KE,1706671894
206,ghat,24.9647,10.1728,7.46,55,0,1.99,LY,1706671894
207,east ballina,-28.8667,153.5833,29.33,62,65,4.33,AU,1706671895
208,saipan,15.1355,145.701,27.39,61,40,8.75,MP,1706671600
209,grootfontein,-19.5667,18.1167,17.91,87,68,2.46,NA,1706671896
210,touros,-5.1989,-35.4608,27.21,71,35,4.65,BR,1706671897
211,chaoyang,41.5703,120.4586,-9.69,49,12,6.1,CN,1706671897
212,chibougamau,49.9168,-74.3659,-8.21,86,100,3.6,CA,1706671898
213,palikir - national government center,6.9248,158.1611,29.47,66,100,6.17,FM,1706671899
214,nelson bay,-32.7167,152.15,28.03,72,11,5.49,AU,1706671900
215,salalah,17.0151,54.0924,23.05,83,20,0.51,OM,1706671901
216,rybnaya sloboda,55.4613,50.1409,-8.01,93,9,4.52,RU,1706671901
217,reoti,25.85,84.3833,18.34,43,1,1.05,IN,1706671902
218,gorontalo,0.5412,123.0595,32.47,60,76,2.43,ID,1706671902
219,kolwezi,-10.7148,25.4667,15.8,96,48,0.33,CD,1706671903
220,choconta,5.1447,-73.6858,8.47,94,55,0.55,CO,1706671903
221,naintre,46.7667,0.4833,6.91,95,98,0.88,FR,1706671904
222,pisco,-13.7,-76.2167,24.03,78,40,6.17,PE,1706671904
223,flying fish cove,-10.4217,105.6791,26.82,89,75,0.51,CX,1706671905
224,khandyga,62.6667,135.6,-36.74,95,96,0.2,RU,1706671905
225,kangaba,11.9333,-8.4167,21.78,19,80,2.68,ML,1706671907
226,alice springs,-23.7,133.8833,37.9,15,75,8.75,AU,1706671730
227,afaahiti,-17.75,-149.2833,28.92,79,85,3.57,PF,1706671908
228,glace bay,46.1969,-59.957,-5.12,76,40,3.6,CA,1706671909
229,ivdel',60.6911,60.4206,-8.78,98,93,1.34,RU,1706671909
230,lihue,21.9789,-159.3672,23.77,75,75,2.06,US,1706671700
231,avarua,-21.2078,-159.775,30.03,62,98,3.09,CK,1706671910
232,vadso,70.0744,29.7487,3.09,70,20,14.4,NO,1706671911
233,bonthe,7.5264,-12.505,25.32,90,59,0.92,SL,1706671911
234,cidreira,-30.1811,-50.2056,20.29,89,7,2.65,BR,1706671736
235,filadelfia,39.9523,-75.1638,3.21,90,100,2.57,US,1706671861
236,ain oussera,35.4514,2.9058,8.82,79,100,1.72,DZ,1706671913
237,punta arenas,-53.15,-70.9167,9.06,66,0,3.6,CL,1706671650
238,diok'nisi,41.6293,42.3917,-7.86,69,8,1.71,GE,1706671914
239,arjawinangun,-6.6453,108.4103,25.6,91,100,3.31,ID,1706671914
240,hotan,37.0997,79.9269,-0.67,49,88,1.47,CN,1706671915
241,kapoeta,4.7717,33.5903,26.05,54,100,1.52,SS,1706671915
242,sarkand,45.41,79.9186,-3.28,89,100,0.67,KZ,1706671916
243,shenjiamen,29.9576,122.298,11.41,92,96,3.86,CN,1706671922
244,susuman,62.7833,148.1667,-32.23,97,100,0.89,RU,1706671922
245,nieves,15.3274,120.9485,29.73,51,76,3.41,PH,1706671923
246,marsa alam,25.0757,34.8918,13.37,40,1,4.22,EG,1706671924
247,nikolayevsk-on-amure,53.1406,140.73,-16.54,81,78,4.03,RU,1706671678
248,tumpat,6.1978,102.171,26.99,83,20,1.03,MY,1706671925
249,nizhnesortymskiy,62.4397,71.7603,-20.91,98,97,5.49,RU,1706671926
250,mongo,12.1844,18.693,18.89,22,3,3.22,TD,1706671927
251,labrador city,52.9463,-66.9114,-10.46,65,100,8.49,CA,1706671360
252,inhambane,-23.865,35.3833,22.99,100,75,1.54,MZ,1706671928
253,mugia,43.1041,-9.2179,10.09,77,100,1.23,ES,1706671929
254,georgetown,5.4112,100.3354,29.96,65,20,3.09,MY,1706671929
255,havre,49.5833,0.3333,4.63,93,66,0.51,FR,1706671930
256,las tablas,7.7667,-80.2833,23.99,99,72,8.48,PA,1706671931
257,kuah,6.3265,99.8432,33.38,58,20,3.09,MY,1706671931
258,sinabang,2.4803,96.3801,29.35,70,86,1.69,ID,1706671932
259,crucecita,-28.95,-58.9833,23.03,68,0,2.59,AR,1706671933
260,zelenoborskiy,66.845,32.3622,-1.74,78,91,5.8,RU,1706671933
261,la'ie,21.6477,-157.9253,25.98,74,22,1.34,US,1706671934
262,anadyr,64.75,177.4833,-32.72,74,0,4.0,RU,1706671935
263,oxapampa,-10.5775,-75.4017,16.47,97,100,0.71,PE,1706671935
264,wattegama,6.7989,81.4808,28.55,68,11,1.45,LK,1706671936
265,ntoum,0.3833,9.7833,27.87,93,93,0.96,GA,1706671936
266,kruisfontein,-34.0033,24.7314,19.38,75,100,3.01,ZA,1706671938
267,panshan,41.1881,122.0494,-10.84,63,5,7.73,CN,1706671939
268,chonchi,-42.6128,-73.8092,16.18,97,99,0.97,CL,1706671939
269,chu,43.5983,73.7614,-1.12,88,100,3.73,KZ,1706671940
270,el porvenir,13.7617,-87.3458,19.63,75,5,3.8,HN,1706671941
271,komsomol'skiy,43.9783,46.6985,-2.98,78,61,4.48,RU,1706671941
272,tarko-sale,64.9225,77.785,-24.25,97,9,5.67,RU,1706671942
273,vlore,40.4667,19.4897,4.71,52,0,3.31,AL,1706671934
274,tandalti,13.0167,31.8667,15.38,22,40,4.93,SD,1706671943
275,kailua-kona,19.6406,-155.9956,27.38,83,75,4.12,US,1706671944
276,leesville,31.1435,-93.261,16.13,55,0,0.0,US,1706671919
277,lavrio,37.7145,24.0565,7.44,75,97,17.07,GR,1706671945
278,togur,58.3631,82.8265,-13.92,94,100,4.08,RU,1706671946
279,stiens,53.2623,5.7577,5.99,72,100,2.57,NL,1706671946
280,santiago de cao,-7.9589,-79.2392,24.07,78,100,3.6,PE,1706671947
281,mana,5.6592,-53.7767,25.52,85,18,4.22,GF,1706671948
282,igarka,67.4667,86.5833,-22.63,81,94,6.37,RU,1706671949
283,arteche,12.2645,125.4048,27.78,67,96,6.49,PH,1706671949
284,bubaque,11.2833,-15.8333,25.32,69,96,3.88,GW,1706671950
285,ixtapa,20.7,-105.2,23.57,83,40,0.0,MX,1706671950
286,caldwell,43.6629,-116.6874,8.93,92,0,1.54,US,1706671663
287,taroa,8.7058,171.2275,26.67,87,100,7.89,MH,1706671952
288,savanna-la-mar,18.219,-78.1332,22.74,84,35,3.29,JM,1706671952
289,las lomas,8.4333,-82.4,27.67,51,0,3.6,PA,1706671954
290,quartu sant'elena,39.2419,9.1839,7.24,80,0,2.57,IT,1706671955
291,badger,64.8,-147.5333,-27.05,73,40,1.54,US,1706671955
292,shenkursk,62.1091,42.896,-5.93,93,49,2.28,RU,1706671956
293,fuyuan,46.4333,127.0833,-18.21,81,22,4.66,CN,1706671956
294,alvaraes,-3.2208,-64.8042,26.23,84,95,0.59,BR,1706671957
295,fruita,39.1589,-108.729,6.96,57,0,2.06,US,1706671957
296,araxa,-19.5933,-46.9406,21.98,73,0,0.51,BR,1706671958
297,port macquarie,-31.4333,152.9167,27.72,65,43,4.18,AU,1706671958
298,hammerfest,70.6634,23.6821,3.25,52,20,24.69,NO,1706671959
299,basco,20.4487,121.9702,23.94,72,29,9.73,PH,1706671959
300,klyuchi,52.2667,79.1667,-12.0,89,100,2.79,RU,1706671960
301,al kharijah,25.4514,30.5464,6.82,52,0,1.89,EG,1706671960
302,el alto,-4.2714,-81.2147,22.89,86,100,4.32,PE,1706671961
303,pangobilian,8.8011,117.8594,28.98,71,45,6.64,PH,1706671962
304,carmelo,-33.9892,-58.2856,24.45,42,0,3.13,UY,1706671706
305,mazeikiai,56.3167,22.3333,1.75,89,100,4.65,LT,1706671963
306,stanley,54.868,-1.6985,4.6,79,0,4.12,GB,1706671964
307,la passe,45.5549,-0.8967,6.13,91,91,2.31,FR,1706671964
308,lompoc,34.6391,-120.4579,14.4,86,0,0.45,US,1706671965
309,port elizabeth,-33.918,25.5701,21.29,88,0,2.57,ZA,1706671965
310,tangalle,6.024,80.7911,28.09,75,43,2.34,LK,1706671966
311,baruun-urt,46.6806,113.2792,-26.55,91,14,3.51,MN,1706671966
312,shira,54.4911,89.9531,-18.75,92,64,0.94,RU,1706671967
313,vorkuta,67.5,64.0,-13.07,96,100,4.36,RU,1706671679
314,tamandare,-8.7597,-35.1047,24.91,77,3,1.59,BR,1706671968
315,tofol,5.3248,163.0078,28.01,77,100,7.85,FM,1706671968
316,mount isa,-20.7333,139.5,26.87,83,100,8.23,AU,1706671970
317,tadine,-21.55,167.8833,27.04,64,80,4.45,NC,1706671970
318,kalmunai,7.4167,81.8167,26.05,85,8,2.61,LK,1706671742
319,slave lake,55.2834,-114.769,7.99,42,0,13.89,CA,1706671820
320,truckee,39.328,-120.1833,9.95,78,0,0.0,US,1706671805
321,gisborne,-38.6533,178.0042,20.16,81,67,5.54,NZ,1706671878
322,birao,10.2849,22.7882,19.89,17,93,5.15,CF,1706671972
323,tshabong,-26.05,22.45,24.3,57,98,2.99,BW,1706671973
324,salekhard,66.53,66.6019,-16.22,97,100,2.69,RU,1706671973
325,clanton,32.8387,-86.6294,14.25,62,26,1.79,US,1706671706
326,suva,-18.1416,178.4415,27.71,83,75,3.6,FJ,1706671974
327,patacamaya,-17.2333,-67.9167,9.45,82,100,3.45,BO,1706671975
328,puerto colombia,10.9878,-74.9547,26.05,85,66,12.36,CO,1706671975
329,east london,-33.0153,27.9116,22.52,88,75,2.57,ZA,1706671976
330,la sarre,48.8002,-79.1996,-0.84,92,100,4.74,CA,1706671976
331,piti village,13.4626,144.6933,29.49,58,100,10.29,GU,1706671977
332,kourou,5.1552,-52.6478,26.03,89,11,3.77,GF,1706671977
333,tondela,40.5167,-8.0833,8.02,85,100,2.26,PT,1706671977
334,bac lieu,9.285,105.7244,28.97,62,59,7.52,VN,1706671978
335,siwa oasis,29.2041,25.5195,8.54,76,36,4.71,EG,1706671978
336,island harbour,50.724,-1.2758,7.74,81,13,0.45,GB,1706671979
337,dogonbadan,30.3586,50.7981,8.05,87,40,0.0,IR,1706671979
338,pangody,65.85,74.4859,-22.52,94,16,6.56,RU,1706671980
339,fale old settlement,-9.3852,-171.2468,29.74,68,26,1.34,TK,1706671980
340,magadan,59.5667,150.8,-21.86,83,6,1.7,RU,1706671981
341,choyr,46.3611,108.3611,-23.96,91,32,1.72,MN,1706671981
342,dabola,10.75,-11.1167,21.0,22,41,0.79,GN,1706671982
343,acapulco de juarez,16.8634,-99.8901,26.9,78,75,1.03,MX,1706671980
344,freetown,8.484,-13.2299,25.84,83,20,3.6,SL,1706671983
345,paoua,7.2427,16.4406,19.16,23,77,1.99,CF,1706671984
346,mariental,-24.6333,17.9667,23.52,58,3,2.43,NA,1706671984
347,bowen,-20.0167,148.2333,30.13,74,97,6.27,AU,1706671986
348,park forest village,40.8067,-77.9169,1.81,83,100,1.79,US,1706671987
349,debark',13.1561,37.8981,10.17,62,63,1.11,ET,1706671987
350,quellon,-43.1167,-73.6167,14.31,93,99,2.29,CL,1706671787
351,hastings,50.8552,0.5729,7.66,31,21,2.0,GB,1706671988
352,pochinok,54.4068,32.4407,-2.37,92,100,3.42,RU,1706671989
353,gua musang,4.8823,101.9644,29.04,63,100,1.24,MY,1706671989
354,vila franca do campo,37.7167,-25.4333,15.23,88,52,2.21,PT,1706671990
355,dwarka,22.2394,68.9678,23.18,72,100,3.28,IN,1706671990
356,antsiranana,-12.2787,49.2917,24.42,94,20,2.06,MG,1706671991
357,yuzhno-kurilsk,44.0306,145.8556,-2.01,71,100,3.05,RU,1706671992
358,voznesenskaya,44.5527,41.0318,-1.58,70,39,0.97,RU,1706671992
359,miles city,46.4083,-105.8406,7.54,70,0,2.57,US,1706671993
360,longquan,24.6719,102.1613,15.75,50,57,3.75,CN,1706671993
361,pasuquin,18.3328,120.6177,27.97,65,20,2.57,PH,1706671994
362,kayangel,8.0823,134.7173,27.33,83,49,10.04,PW,1706671995
363,guichon,-32.35,-57.2,23.9,63,20,1.56,UY,1706671995
